symbol,signal_date,entry_date,entry_price,direction,atr_at_signal,upper_channel,lower_channel,channel_width,trend_filter,breakout_strength,volume,target_price,stop_price,label_horizon_days,label_target_atr,label_stop_atr,label_event,label_event_date,label_event_price,label,days_to_event
QQQ,2025-06-30,2025-07-01,549.73,LONG,6.442857142857122,549.99,511.93,38.06,533.483,0.25609756097560704,27139828.0,559.3942857142857,543.287142857143,15,1.5,1.0,target_first,2025-07-15,559.3942857142857,1,15
SPY,2025-06-30,2025-07-01,616.36,LONG,5.847857142857143,616.39,583.23,33.15999999999997,601.62,0.2496641016245329,56326202.0,625.1317857142857,610.5121428571429,15,1.5,1.0,target_first,2025-07-03,625.1317857142857,1,3
SPY,2025-07-02,2025-07-03,622.45,LONG,5.635000000000007,619.22,591.05,28.170000000000073,604.085,0.2182786157941467,40715018.0,630.9025,616.815,15,1.5,1.0,target_first,2025-07-21,630.9025,1,19
IWM,2025-07-03,2025-07-07,221.57,LONG,3.4292857142857156,221.1,206.81,14.289999999999992,213.4395,0.5773797125598884,14663122.0,226.71392857142857,218.14071428571427,15,1.5,1.0,stop_first,2025-07-16,218.14071428571427,0,10
QQQ,2025-07-03,2025-07-07,553.52,LONG,6.569285714285708,552.8,522.66,30.139999999999986,537.2194999999999,0.5206045449603247,16052769.0,563.3739285714286,546.9507142857143,15,1.5,1.0,target_first,2025-07-21,563.3739285714286,1,15
SPY,2025-07-03,2025-07-07,623.35,LONG,5.7492857142857146,620.49,591.05,29.440000000000055,605.5555,0.8435830537955065,31052903.0,631.9739285714286,617.6007142857143,15,1.5,1.0,target_first,2025-07-23,631.9739285714286,1,17
IWM,2025-07-10,2025-07-11,223.17,LONG,3.384285714285716,223.69,206.81,16.879999999999995,215.496,0.32798649219080167,22253107.0,228.24642857142857,219.78571428571428,15,1.5,1.0,stop_first,2025-07-15,219.78571428571428,0,5
GLD,2025-07-22,2025-07-23,314.0,LONG,3.165,313.31,299.89,13.420000000000016,307.534,0.8815165876777316,9156856.0,318.7475,310.835,15,1.5,1.0,stop_first,2025-07-24,310.835,0,2
SPY,2025-07-23,2025-07-24,634.59,LONG,4.597142857142858,631.54,603.41,28.129999999999995,622.417,0.5807955251709294,42691755.0,641.4857142857143,629.9928571428571,15,1.5,1.0,stop_first,2025-08-01,629.9928571428571,0,9
SPY,2025-07-25,2025-07-28,637.5,LONG,4.027142857142865,636.15,608.37,27.779999999999973,625.0435,0.2358992550549949,35706718.0,643.5407142857143,633.4728571428572,15,1.5,1.0,stop_first,2025-07-30,633.4728571428572,0,3
TLT,2025-08-01,2025-08-04,87.95,LONG,0.855714285714284,87.41,84.19,3.219999999999999,86.183,0.4791318864774594,43835324.0,89.23357142857142,87.09428571428572,15,1.5,1.0,stop_first,2025-08-06,87.09428571428572,0,3
TLT,2025-08-05,2025-08-06,87.84,LONG,0.7621428571428562,88.15,84.19,3.960000000000008,86.39399999999999,0.23617619493907213,24026779.0,88.98321428571428,87.07785714285714,15,1.5,1.0,stop_first,2025-08-06,87.07785714285714,0,1
QQQ,2025-08-12,2025-08-13,582.76,LONG,6.848571428571437,576.8,551.56,25.24000000000001,565.5825,0.4745515227367537,27042716.0,593.0328571428571,575.9114285714286,15,1.5,1.0,stop_first,2025-08-15,575.9114285714286,0,3
SPY,2025-08-12,2025-08-13,644.91,LONG,6.08642857142859,639.85,618.05,21.800000000000068,632.181,0.46661190001173947,43551933.0,654.0396428571429,638.8235714285714,15,1.5,1.0,stop_first,2025-08-19,638.8235714285714,0,7
IWM,2025-08-13,2025-08-14,228.44,LONG,3.6842857142857133,226.98,212.34,14.639999999999986,222.392,1.1508336564559936,29531252.0,233.96642857142857,224.75571428571428,15,1.5,1.0,stop_first,2025-08-20,224.75571428571428,0,7
SPY,2025-08-13,2025-08-14,642.78,LONG,6.182857142857172,642.85,618.05,24.800000000000068,633.2145,0.3299445471349279,39325215.0,652.0542857142857,636.5971428571428,15,1.5,1.0,stop_first,2025-08-20,636.5971428571428,0,7
IWM,2025-08-22,2025-08-25,234.14,LONG,3.6671428571428555,231.46,212.34,19.120000000000005,223.9015,0.9189715621347894,38732931.0,239.64071428571427,230.47285714285712,15,1.5,1.0,target_first,2025-09-05,239.64071428571427,1,12
XLE,2025-08-27,2025-08-28,44.63,LONG,0.6071428571428582,44.24,42.05,2.190000000000005,42.9935,0.6094117647058771,21087858.0,45.54071428571429,44.02285714285714,15,1.5,1.0,stop_first,2025-09-05,44.02285714285714,0,9
GLD,2025-08-28,2025-08-29,314.72,LONG,2.4792857142857208,313.53,302.86,10.669999999999959,309.833,0.6050129645635248,6394656.0,318.4389285714286,312.2407142857143,15,1.5,1.0,target_first,2025-09-02,318.4389285714286,1,5
SPY,2025-08-28,2025-08-29,647.46,LONG,4.652857142857158,647.37,619.29,28.08000000000004,639.011,0.33312864599323444,38907606.0,654.4392857142858,642.8071428571429,15,1.5,1.0,stop_first,2025-09-02,642.8071428571429,0,5
XLE,2025-08-28,2025-08-29,44.97,LONG,0.6085714285714298,44.77,42.05,2.720000000000006,43.061,0.2957746478873229,19870346.0,45.88285714285714,44.36142857142857,15,1.5,1.0,stop_first,2025-09-03,44.36142857142857,0,6
GLD,2025-08-29,2025-09-02,320.82,LONG,2.3385714285714334,315.08,305.19,9.889999999999986,310.281,1.2785583384239474,10862421.0,324.32785714285717,318.4814285714286,15,1.5,1.0,target_first,2025-09-02,324.32785714285717,1,1
XLE,2025-08-29,2025-09-02,45.08,LONG,0.5878571428571442,45.02,42.05,2.970000000000006,43.181,0.30619684082624427,17832058.0,45.96178571428572,44.49214285714285,15,1.5,1.0,stop_first,2025-09-03,44.49214285714285,0,2
GLD,2025-09-02,2025-09-03,327.76,LONG,2.7135714285714334,318.09,305.19,12.899999999999977,311.015,2.763885232956036,15451396.0,331.83035714285717,325.0464285714286,15,1.5,1.0,target_first,2025-09-08,331.83035714285717,1,6
