lookback,strength,stop_atr,trail_atr,hold,fail_wait,eligible_assets,avg_sharpe,median_sharpe,best_sharpe,avg_return,avg_trades,avg_max_dd,avg_win_rate,avg_exp_return,top_symbol,score
30,0.25,2.5,3.5,12,4,5,0.14612089321551078,0.2823256428321838,0.7459215914580024,0.01348687977785723,37.4,-0.029784377102162595,0.5178856822671861,0.0011126888577739258,QQQ,0.47042408300117067
30,0.25,2.5,3.5,15,4,5,0.14612089321551078,0.2823256428321838,0.7459215914580024,0.01348687977785723,37.4,-0.029784377102162595,0.5178856822671861,0.0011126888577739258,QQQ,0.47042408300117067
30,0.25,2.5,3.5,18,4,5,0.14612089321551078,0.2823256428321838,0.7459215914580024,0.01348687977785723,37.4,-0.029784377102162595,0.5178856822671861,0.0011126888577739258,QQQ,0.47042408300117067
30,0.15,2.5,3.5,12,4,5,0.1394482299950135,-0.07864184315146901,0.8204857560560518,0.012837089519285883,43.6,-0.03470728326118451,0.5104700854700855,0.0005965237886994112,QQQ,0.4703445145572823
30,0.15,2.5,3.5,15,4,5,0.1394482299950135,-0.07864184315146901,0.8204857560560518,0.012837089519285883,43.6,-0.03470728326118451,0.5104700854700855,0.0005965237886994112,QQQ,0.4703445145572823
30,0.15,2.5,3.5,18,4,5,0.1394482299950135,-0.07864184315146901,0.8204857560560518,0.012837089519285883,43.6,-0.03470728326118451,0.5104700854700855,0.0005965237886994112,QQQ,0.4703445145572823
30,0.1,3.0,2.5,12,4,5,0.17612179662658017,0.0773960580111459,0.6981407700290064,0.012335464911428739,44.8,-0.026688291756591997,0.5134912351130738,0.0007126298409326627,QQQ,0.46784304002606375
30,0.1,3.0,2.5,15,4,5,0.17612179662658017,0.0773960580111459,0.6981407700290064,0.012335464911428739,44.8,-0.026688291756591997,0.5134912351130738,0.0007126298409326627,QQQ,0.46784304002606375
30,0.1,3.0,2.5,18,4,5,0.17612179662658017,0.0773960580111459,0.6981407700290064,0.012335464911428739,44.8,-0.026688291756591997,0.5134912351130738,0.0007126298409326627,QQQ,0.46784304002606375
30,0.15,3.0,3.5,12,5,5,0.07370926061777301,0.10598357598379117,0.87152879723474,0.012651436474285705,40.8,-0.035637271645312094,0.48572427420580633,0.0002050353185597091,GLD,0.46558047346965603
30,0.1,3.0,3.0,12,4,5,0.17143743780063175,0.0773960580111459,0.6981407700290064,0.011889408557143022,44.8,-0.026688291756591997,0.5134912351130738,0.000668384307511854,QQQ,0.46439690949152995
30,0.1,3.0,3.0,15,4,5,0.17143743780063175,0.0773960580111459,0.6981407700290064,0.011889408557143022,44.8,-0.026688291756591997,0.5134912351130738,0.000668384307511854,QQQ,0.46439690949152995
30,0.1,3.0,3.0,18,4,5,0.17143743780063175,0.0773960580111459,0.6981407700290064,0.011889408557143022,44.8,-0.026688291756591997,0.5134912351130738,0.000668384307511854,QQQ,0.46439690949152995
30,0.1,3.0,3.5,12,4,5,0.166921439258753,0.0773960580111459,0.6981407700290064,0.011443352202857304,44.8,-0.026688291756591997,0.5134912351130738,0.0006241387740910453,QQQ,0.46102654108482727
30,0.1,3.0,3.5,15,4,5,0.166921439258753,0.0773960580111459,0.6981407700290064,0.011443352202857304,44.8,-0.026688291756591997,0.5134912351130738,0.0006241387740910453,QQQ,0.46102654108482727
30,0.1,3.0,3.5,18,4,5,0.166921439258753,0.0773960580111459,0.6981407700290064,0.011443352202857304,44.8,-0.026688291756591997,0.5134912351130738,0.0006241387740910453,QQQ,0.46102654108482727
20,0.2,2.0,3.0,12,4,6,0.10136355997268996,0.03367939473486943,0.8091853919535157,0.009312584014285715,44.0,-0.03843180015595351,0.5041530900401869,0.0005913683694620687,QQQ,0.45167491109010927
20,0.2,2.0,3.0,15,4,6,0.10136355997268996,0.03367939473486943,0.8091853919535157,0.009312584014285715,44.0,-0.03843180015595351,0.5041530900401869,0.0005913683694620687,QQQ,0.45167491109010927
20,0.2,2.0,3.0,18,4,6,0.10136355997268996,0.03367939473486943,0.8091853919535157,0.009312584014285715,44.0,-0.03843180015595351,0.5041530900401869,0.0005913683694620687,QQQ,0.45167491109010927
20,0.2,2.0,3.5,12,4,6,0.10136355997268996,0.03367939473486943,0.8091853919535157,0.009312584014285715,44.0,-0.03843180015595351,0.5041530900401869,0.0005913683694620687,QQQ,0.45167491109010927
20,0.2,2.0,3.5,15,4,6,0.10136355997268996,0.03367939473486943,0.8091853919535157,0.009312584014285715,44.0,-0.03843180015595351,0.5041530900401869,0.0005913683694620687,QQQ,0.45167491109010927
